ind_csv,pedrego_c1,rocho_c1,relevo_c1,ad_c1,pedrego_c2,rocho_c2,relevo_c2,ad_c2,pedrego_c3,rocho_c3,relevo_c3,ad_c3,pedrego_c4,rocho_c4,relevo_c4,ad_c4,pedrego_c5,rocho_c5,relevo_c5,ad_c5,ad_um,solos_c1,solos_c2,solos_c3,solos_c4,solos_c5,textura_c1,textura_c2,textura_c3,textura_c4,textura_c5,c1_class
PBACal 7, ,,suave ondulado,1.8,,,,0,,,,0,,,,0,,,,0,1.8,"ARGISSOLO, BRUNO-ACINZENTADO, Alitico, umbrico",,,,,muito argilosa,,,,,"ARGISSOLO, BRUNO-ACINZENTADO, Alitico, umbrico - PBACal 7"
PVal 8, ,,suave ondulado,1.8,,,,0,,,,0,,,,0,,,,0,1.8,"ARGISSOLO, VERMELHO, Alitico, tipico",,,,,muito argilosa,,,,,"ARGISSOLO, VERMELHO, Alitico, tipico - PVal 8"
PVAe 5,pedregosa,,ondulado,0.917,,,,0,,,,0,,,,0,,,,0,0.917,"ARGISSOLO, VERMELHO-AMARELO, Eutrofico, tipico",,,,,media/argilosa,,,,,"ARGISSOLO, VERMELHO-AMARELO, Eutrofico, tipico - PVAe 5"
PVAe 7, ,,suave ondulado,1.31,,,,0,,,,0,,,,0,,,,0,1.31,"ARGISSOLO, VERMELHO-AMARELO, Eutrofico, tipico",,,,,media/argilosa,,,,,"ARGISSOLO, VERMELHO-AMARELO, Eutrofico, tipico - PVAe 7"
PVAe 8, ,,moderadamente ondulado,1.31,,,,0,,,,0,,,,0,,,,0,1.31,"ARGISSOLO, VERMELHO-AMARELO, Eutrofico, tipico",,,,,media/argilosa,,,,,"ARGISSOLO, VERMELHO-AMARELO, Eutrofico, tipico - PVAe 8"
PVAvd,pedregosa,,ondulado,0.917,,,,0,,,,0,,,,0,,,,0,0.917,"ARGISSOLO, VERMELHO-AMARELO, Ta Distrofico, umbrico",,,,,media/argilosa,,,,,"ARGISSOLO, VERMELHO-AMARELO, Ta Distrofico, umbrico - PVAvd"
PVd 2, ,,moderadamente ondulado,1.31,,,,0,,,,0,,,,0,,,,0,1.31,"ARGISSOLO, VERMELHO, Distrofico, tipico",,,,,media/argilosa,,,,,"ARGISSOLO, VERMELHO, Distrofico, tipico - PVd 2"
PVe 4, ,,forte ondulado,1.31,,,,0,,,,0,,,,0,,,,0,1.31,"ARGISSOLO, VERMELHO, Eutrofico, tipico",,,,,media/argilosa,,,,,"ARGISSOLO, VERMELHO, Eutrofico, tipico - PVe 4"
PVAd 2, ,,moderadamente ondulado,1.31,,,,0,,,,0,,,,0,,,,0,1.31,"ARGISSOLO, VERMELHO-AMARELO, Distrofico, abruptico",,,,,media/muito argilosa,,,,,"ARGISSOLO, VERMELHO-AMARELO, Distrofico, abruptico - PVAd 2"
PVAd 3, ,,ondulado,1.31,,,,0,,,,0,,,,0,,,,0,1.31,"ARGISSOLO, VERMELHO-AMARELO, Distrofico, abruptico",,,,,media/muito argilosa,,,,,"ARGISSOLO, VERMELHO-AMARELO, Distrofico, abruptico - PVAd 3"
