ind_csv,pedrego_c1,rocho_c1,relevo_c1,ad_c1,pedrego_c2,rocho_c2,relevo_c2,ad_c2,pedrego_c3,rocho_c3,relevo_c3,ad_c3,pedrego_c4,rocho_c4,relevo_c4,ad_c4,pedrego_c5,rocho_c5,relevo_c5,ad_c5,ad_um,solos_c1,solos_c2,solos_c3,solos_c4,solos_c5,textura_c1,textura_c2,textura_c3,textura_c4,textura_c5,c1_class
SX,,,plano e suave ondulado,1.07,,,plano e suave ondulado,0.525,,,,0.0,,,,0.0,,,,0,0.6925,"PLANOSSOLO, HÁPLICO, Eutrófico, típico","NEOSSOLO, LITÓLICO, Eutrófico, típico",AFLORAMENTOS DE ROCHA,,,"média/média, média/argilosa",média cascalhenta,,,,"PLANOSSOLO, HÁPLICO, Eutrófico, típico - SX"
TC1,,,suave ondulado,1.51,,,suave ondulado e ondulado,1.026,,,suave ondulado,1.51,pedregosa,,suave ondulado,0.679,,,,0,1.2469999999999999,"LUVISSOLO, CRÔMICO, Órtico, lítico","NEOSSOLO, LITÓLICO, Eutrófico, típico","LUVISSOLO, CRÔMICO, Órtico, vertissólico","CAMBISSOLO, HÁPLICO, Tb Eutrófico, léptico",,média/argilosa,"média, argilosa",média/argilosa,média,,"LUVISSOLO, CRÔMICO, Órtico, lítico - TC1"
TC2,,,plano e suave ondulado,1.51,,,suave ondulado,1.31,,,suave ondulado,0.85,,,,0.0,,,,0,1.3279999999999998,"LUVISSOLO, CRÔMICO, Órtico, vertissólico","ARGISSOLO, VERMELHO-AMARELO, Eutrófico, típico","ARGISSOLO, VERMELHO-AMARELO, Eutrófico, abrúptico",,,média/argilosa,média/argilosa,arenosa/média,,,"LUVISSOLO, CRÔMICO, Órtico, vertissólico - TC2"
TC3,,,ondulado e plano,1.51,,,plano e suave ondulado,1.41,,,suave ondulado,0.85,,,,0.0,,,,0,1.3579999999999999,"LUVISSOLO, CRÔMICO, Órtico e Carbonático, vertissólico","VERTISSOLO, HÁPLICO, Órtico, típico e chernossólico","ARGISSOLO, VERMELHO-AMARELO, Eutrófico, típico",,,média/argilosa,argilosa,arenosa/média,,,"LUVISSOLO, CRÔMICO, Órtico e Carbonático, vertissólico - TC3"
TC4,epipedregosa,,suave ondulado e ondulado,0.4129999999999999,epipedregosa,,suave ondulado e ondulado,0.6375,,,,0.0,,,,0.0,,,,0,0.5027999999999999,"LUVISSOLO, CRÔMICO, Órtico, típico","NEOSSOLO, LITÓLICO, Eutrófico, fragmentário",,,,média muito cascalhenta ou não/média cascalhenta,média,,,,"LUVISSOLO, CRÔMICO, Órtico, típico - TC4"
TC5,pedregosa,,suave ondulado e ondulado,1.057,pedregosa,rochosa,suave ondulado e ondulado,0.3,pedregosa,,suave ondulado,0.9869999999999999,,,suave ondulado,0.85,,,,0,0.81235,"LUVISSOLO, CRÔMICO, Órtico, típico","NEOSSOLO, LITÓLICO, Eutrófico, fragmentário","VERTISSOLO, HÁPLICO, Órtico, típico","ARGISSOLO, VERMELHO-AMARELO, Eutrófico, léptico e típico",,média/argilosa,média,"argilosa, muito argilosa",arenosa/média,,"LUVISSOLO, CRÔMICO, Órtico, típico - TC5"
VX1,,,suave ondulado,1.41,,,plano,1.21,,,,0.0,,,,0.0,,,,0,1.33,"VERTISSOLO, HÁPLICO, Órtico, típico","NEOSSOLO, FLÚVICO, Ta Eutrófico, típico",,,,argilosa,"média/argilosa, média/arenosa",,,,"VERTISSOLO, HÁPLICO, Órtico, típico - VX1"
VX2,,,plano e suave ondulado,1.41,,,plano,1.254,,,,0.0,,,,0.0,,,,0,1.3632,"VERTISSOLO, HÁPLICO, Órtico, típico e chernossólico","NEOSSOLO, FLÚVICO, Ta Eutrófico e Tb Eutrófico, típico",,,,"argilosa, muito argilosa","média, argilosa",,,,"VERTISSOLO, HÁPLICO, Órtico, típico e chernossólico - VX2"
VX3,,,suave ondulado e plano,1.41,epipedregosa ou não,,suave ondulado e plano,0.9265000000000001,epipedregosa ou não,,suave ondulado e plano,0.9265000000000001,,,,0.0,,,,0,1.2166,"VERTISSOLO, HÁPLICO, Órtico, típico","ARGISSOLO, VERMELHO-AMARELO, Eutrófico, típico","ARGISSOLO, VERMELHO-AMARELO, Distrófico, típico",,,argilosa,"média/média, argilosa","média/média, argilosa",,,"VERTISSOLO, HÁPLICO, Órtico, típico - VX3"
VX4,,,suave ondulado e ondulado,1.41,pedregosa,rochosa,suave ondulado e ondulado,0.588,,,,0.0,,,,0.0,,,,0,1.0812,"VERTISSOLO, HÁPLICO, Carbonático, chernossólico e típico","CHERNOSSOLO, RÊNDIZICO, Lítolico e Órtico, típico e vertissólico",,,,argilosa,argilosa,,,,"VERTISSOLO, HÁPLICO, Carbonático, chernossólico e típico - VX4"
VX5,,,plano e suave ondulado,1.41,,,plano e suave ondulado,0.76,,,plano,1.41,,,,0.0,,,,0,1.2149999999999999,"VERTISSOLO, HÁPLICO, Órtico, sólodico e chernossólico","NEOSSOLO, FLÚVICO, Ta Eutrófico, típico","VERTISSOLO, HIDROMÓRFICO, Órtico, solódico",,,argilosa,arenosa/média,argilosa,,,"VERTISSOLO, HÁPLICO, Órtico, sólodico e chernossólico - VX5"
